"x","predicted","std.error","conf.low","conf.high","group","facet","panel"
"Pre-2020",0.103649603038545,0.0137392205248763,0.101174353528803,0.106178256341611,"White","Heterosexual","Male"
"Pre-2020",0.417482220195787,0.041461422588997,0.397862190981095,0.437367008563481,"White","Bisexual","Male"
"Pre-2020",0.314271713845017,0.0523125747169679,0.292607348713604,0.336776449018235,"White","Homosexual","Male"
"Pre-2020",0.225933923200562,0.0515743313015763,0.208746385807777,0.244100053065249,"White","Othersexual","Male"
"Pre-2020",0.157346936541206,0.0120532836327876,0.154239951676602,0.160504630599651,"White","Heterosexual","Female"
"Pre-2020",0.502610360504252,0.0220332660567371,0.491815013481598,0.513403274327898,"White","Bisexual","Female"
"Pre-2020",0.444077973173682,0.0482897118745408,0.420852694982706,0.467550227799573,"White","Homosexual","Female"
"Pre-2020",0.324493106634193,0.037695250999468,0.308512992688276,0.340892889575935,"White","Othersexual","Female"
"Pre-2020",0.104412495647364,0.0408249120698958,0.0971635364981775,0.1121350980863,"Asian","Heterosexual","Male"
"Pre-2020",0.308264687931216,0.111994985013128,0.263520403962074,0.356924362933248,"Asian","Bisexual","Male"
"Pre-2020",0.270123349187717,0.117483830802639,0.227187476822901,0.317836391125157,"Asian","Homosexual","Male"
"Pre-2020",0.191101945052151,0.0999058280169592,0.162645069724432,0.223210514940545,"Asian","Othersexual","Male"
"Pre-2020",0.143373061834357,0.037570805178476,0.134564421993081,0.152656607602151,"Asian","Heterosexual","Female"
"Pre-2020",0.413792746188668,0.0748854446713028,0.378697360220891,0.449785996732376,"Asian","Bisexual","Female"
"Pre-2020",0.374881633306731,0.126005054764237,0.319016325140121,0.434290920820072,"Asian","Homosexual","Female"
"Pre-2020",0.252839062039764,0.0840789711218189,0.222991229819388,0.285215577320932,"Asian","Othersexual","Female"
"Pre-2020",0.0987776720190491,0.0274448151331002,0.0940914444831945,0.103670587647911,"Black","Heterosexual","Male"
"Pre-2020",0.33666419926584,0.0820549324131209,0.30174120896377,0.37346727026805,"Black","Bisexual","Male"
"Pre-2020",0.249242731250043,0.0874867103314261,0.218551776645059,0.282684499078815,"Black","Homosexual","Male"
"Pre-2020",0.20698169189899,0.0852442615009357,0.180895575175987,0.235746893417958,"Black","Othersexual","Male"
"Pre-2020",0.154779795586882,0.0239229731143153,0.148744541366166,0.161013609676264,"Black","Heterosexual","Female"
"Pre-2020",0.415376837505645,0.0398509497161161,0.396543611175373,0.434460552806734,"Black","Bisexual","Female"
"Pre-2020",0.318326556905972,0.0748220947267816,0.287384376430787,0.350959486520774,"Black","Homosexual","Female"
"Pre-2020",0.284501562747708,0.0652873636986682,0.259186399594297,0.311250455722991,"Black","Othersexual","Female"
"Pre-2020",0.108254073007789,0.0214909086445647,0.104254465971499,0.112387868583377,"Hispanic","Heterosexual","Male"
"Pre-2020",0.396613714337852,0.0615211877012849,0.368147079618252,0.425798172317014,"Hispanic","Bisexual","Male"
"Pre-2020",0.332288720988149,0.0681243565420858,0.303354852627474,0.362546094646218,"Hispanic","Homosexual","Male"
"Pre-2020",0.250228857817649,0.0621366749423792,0.22808118704385,0.273764431170458,"Hispanic","Othersexual","Male"
"Pre-2020",0.173847717536933,0.0180772756683586,0.16881763165,0.178995403821434,"Hispanic","Heterosexual","Female"
"Pre-2020",0.44212333263051,0.0316965266165732,0.426860205084283,0.457496578856312,"Hispanic","Bisexual","Female"
"Pre-2020",0.404437952755611,0.0627122508775199,0.375212045693852,0.434357704898382,"Hispanic","Homosexual","Female"
"Pre-2020",0.335992243459769,0.0475163670663699,0.315541862796298,0.357076571396571,"Hispanic","Othersexual","Female"
"Pre-2020",0.127016830447019,0.0293740434045756,0.120768924469545,0.13353887512094,"MultiOtherRace","Heterosexual","Male"
"Pre-2020",0.443984993287685,0.0803953655059664,0.405505616996132,0.483148259995582,"MultiOtherRace","Bisexual","Male"
"Pre-2020",0.298129875919958,0.097589504810247,0.259707173978724,0.33962915833016,"MultiOtherRace","Homosexual","Male"
"Pre-2020",0.247714473655772,0.0857406633328409,0.217739606424134,0.280337006849922,"MultiOtherRace","Othersexual","Male"
"Pre-2020",0.210136737903711,0.0252975036947053,0.202025359105531,0.218484621714284,"MultiOtherRace","Heterosexual","Female"
"Pre-2020",0.519485354987957,0.0427312545211684,0.498557302262795,0.540345252454377,"MultiOtherRace","Bisexual","Female"
"Pre-2020",0.449625875192941,0.0841334742058998,0.409246541585531,0.49068011808113,"MultiOtherRace","Homosexual","Female"
"Pre-2020",0.34497009725184,0.0683693486325655,0.315350003389921,0.375845052211538,"MultiOtherRace","Othersexual","Female"
"Post-2020",0.111307876802609,0.0215093521535291,0.107205547056368,0.115546869807486,"White","Heterosexual","Male"
"Post-2020",0.395651973109641,0.0523706791529424,0.371389625953048,0.420439218203694,"White","Bisexual","Male"
"Post-2020",0.362800606338417,0.0698449126473308,0.331785013083868,0.3950016655297,"White","Homosexual","Male"
"Post-2020",0.324235910696566,0.0588275978619269,0.299501533759308,0.34999238264976,"White","Othersexual","Male"
"Post-2020",0.176284659524862,0.0205055603828412,0.170524428511992,0.18219672872518,"White","Heterosexual","Female"
"Post-2020",0.489819265122023,0.0291000150434321,0.47557856046367,0.504076512860829,"White","Bisexual","Female"
"Post-2020",0.490327441360249,0.0560949760782296,0.462908466640777,0.517804736292897,"White","Homosexual","Female"
"Post-2020",0.405347947917033,0.0342492605096547,0.389275666871761,0.421625695430036,"White","Othersexual","Female"
"Post-2020",0.099672520923456,0.0620122388357055,0.0892838785751091,0.111122445441767,"Asian","Heterosexual","Male"
"Post-2020",0.348564104098448,0.113560653666155,0.299866924798751,0.400644106455541,"Asian","Bisexual","Male"
"Post-2020",0.288255336587361,0.117840503674391,0.243269794267366,0.337845681103301,"Asian","Homosexual","Male"
"Post-2020",0.258870097326012,0.112038890467341,0.219010552230246,0.303167977936413,"Asian","Othersexual","Male"
"Post-2020",0.158152320097879,0.061024131396003,0.142871089657423,0.174734802559869,"Asian","Heterosexual","Female"
"Post-2020",0.432771662555736,0.0795991977421421,0.394947295011121,0.47139623459693,"Asian","Bisexual","Female"
"Post-2020",0.39395753301615,0.114261832279719,0.341941082681201,0.448493888388993,"Asian","Homosexual","Female"
"Post-2020",0.343877048359977,0.0885306882548559,0.305852612970213,0.384013565821386,"Asian","Othersexual","Female"
"Post-2020",0.0986929304878082,0.0422037699761771,0.0915752879453912,0.106299053857622,"Black","Heterosexual","Male"
"Post-2020",0.337775406984326,0.0934250635807779,0.298105988097545,0.379866758553943,"Black","Bisexual","Male"
"Post-2020",0.310704474310075,0.10025755263901,0.270255024892891,0.354268955946896,"Black","Homosexual","Male"
"Post-2020",0.277925285042166,0.100381352406773,0.240211533990394,0.319073592195545,"Black","Othersexual","Male"
"Post-2020",0.18399187357225,0.0402526735084718,0.17244082047105,0.196133299551932,"Black","Heterosexual","Female"
"Post-2020",0.440619986308636,0.0528955214036844,0.415246135074001,0.466307898792211,"Black","Bisexual","Female"
"Post-2020",0.432702654531591,0.084265287516826,0.392696949658117,0.473605589890486,"Black","Homosexual","Female"
"Post-2020",0.378822750893971,0.0612456773256069,0.351013468716039,0.407452005617893,"Black","Othersexual","Female"
"Post-2020",0.106126156590518,0.0338370117226324,0.0999972231297725,0.112583747840275,"Hispanic","Heterosexual","Male"
"Post-2020",0.401235790306009,0.0831132555426415,0.362803294690693,0.440922339269387,"Hispanic","Bisexual","Male"
"Post-2020",0.328692692214631,0.0903948372700162,0.290846907212771,0.368901299225819,"Hispanic","Homosexual","Male"
"Post-2020",0.318451570497722,0.0840564479357044,0.283809183063679,0.355225168256185,"Hispanic","Othersexual","Male"
"Post-2020",0.176753475308523,0.0317469946601717,0.167880631937035,0.18599045045894,"Hispanic","Heterosexual","Female"
"Post-2020",0.462839319094951,0.0436339074963794,0.441657419337548,0.484156198325994,"Hispanic","Bisexual","Female"
"Post-2020",0.451254997393019,0.0785549416624498,0.41348763742684,0.489592399281724,"Hispanic","Homosexual","Female"
"Post-2020",0.403694953370652,0.0492787092110731,0.380676616102071,0.427145185799153,"Hispanic","Othersexual","Female"
"Post-2020",0.131716541078859,0.0441544533197152,0.122130568240041,0.141933265327497,"MultiOtherRace","Heterosexual","Male"
"Post-2020",0.42156226508004,0.0963308073376634,0.376326862351672,0.468153543201284,"MultiOtherRace","Bisexual","Male"
"Post-2020",0.370073752338698,0.108266458203685,0.32210850275238,0.420748357367402,"MultiOtherRace","Homosexual","Male"
"Post-2020",0.328307575782409,0.0939467648953499,0.289054215030638,0.370116430692848,"MultiOtherRace","Othersexual","Male"
"Post-2020",0.197390607012949,0.0450079450995637,0.183787045290365,0.211739868237073,"MultiOtherRace","Heterosexual","Female"
"Post-2020",0.514866871383204,0.0581435928870704,0.486384784664438,0.543252715508646,"MultiOtherRace","Bisexual","Female"
"Post-2020",0.465502591367899,0.0953570341831455,0.419431987404653,0.512169379693665,"MultiOtherRace","Homosexual","Female"
"Post-2020",0.429916613412301,0.0656433096956717,0.39870834916205,0.461692008199219,"MultiOtherRace","Othersexual","Female"
